Period,Variable,Shock,Value
15,omega_G_2,eps_a_basket_2,6.835612999377386e-19
16,omega_G_2,eps_a_basket_2,6.561053345811855e-19
17,omega_G_2,eps_a_basket_2,6.273049492965656e-19
18,omega_G_2,eps_a_basket_2,5.977035877230579e-19
19,omega_G_2,eps_a_basket_2,5.677494489712861e-19
20,omega_G_2,eps_a_basket_2,5.378091020926381e-19
21,omega_G_2,eps_a_basket_2,5.081793301000067e-19
22,omega_G_2,eps_a_basket_2,4.790974214849753e-19
23,omega_G_2,eps_a_basket_2,4.507501012919501e-19
24,omega_G_2,eps_a_basket_2,4.2328127092268026e-19
25,omega_G_2,eps_a_basket_2,3.967987056143448e-19
26,omega_G_2,eps_a_basket_2,3.713798406584497e-19
27,omega_G_2,eps_a_basket_2,3.4707676163759015e-19
28,omega_G_2,eps_a_basket_2,3.23920500014318e-19
29,omega_G_2,eps_a_basket_2,3.019247230993244e-19
30,omega_G_2,eps_a_basket_2,2.810888965671863e-19
31,omega_G_2,eps_a_basket_2,2.6140098811048257e-19
32,omega_G_2,eps_a_basket_2,2.4283977237944777e-19
33,omega_G_2,eps_a_basket_2,2.2537678991351505e-19
34,omega_G_2,eps_a_basket_2,2.0897800621697445e-19
35,omega_G_2,eps_a_basket_2,1.9360521136060682e-19
36,omega_G_2,eps_a_basket_2,1.7921719541334297e-19
37,omega_G_2,eps_a_basket_2,1.657707305419258e-19
38,omega_G_2,eps_a_basket_2,1.5322138669065863e-19
39,omega_G_2,eps_a_basket_2,1.4152420430422566e-19
40,omega_G_2,eps_a_basket_2,1.306342445281727e-19
41,omega_G_2,eps_a_basket_2,1.2050703466428807e-19
42,omega_G_2,eps_a_basket_2,1.1109892432789864e-19
43,omega_G_2,eps_a_basket_2,1.0236736571214422e-19
44,omega_G_2,eps_a_basket_2,9.427112957626169e-20
45,omega_G_2,eps_a_basket_2,8.677046701043422e-20
46,omega_G_2,eps_a_basket_2,7.982722566200963e-20
47,omega_G_2,eps_a_basket_2,7.340492791316562e-20
48,omega_G_2,eps_a_basket_2,6.746881745747032e-20
49,omega_G_2,eps_a_basket_2,6.198587981378243e-20
50,omega_G_2,eps_a_basket_2,5.692484152425739e-20
51,omega_G_2,eps_a_basket_2,5.2256152094499554e-20
52,omega_G_2,eps_a_basket_2,4.7951952135450707e-20
53,omega_G_2,eps_a_basket_2,4.398603064726663e-20
54,omega_G_2,eps_a_basket_2,4.0333773935364866e-20
55,omega_G_2,eps_a_basket_2,3.697210825937079e-20
56,omega_G_2,eps_a_basket_2,3.387943797922188e-20
57,omega_G_2,eps_a_basket_2,3.1035580672509035e-20
58,omega_G_2,eps_a_basket_2,2.8421700447346546e-20
59,omega_G_2,eps_a_basket_2,2.6020240460491466e-20
60,omega_G_2,eps_a_basket_2,2.3814855466533936e-20
61,omega_G_2,eps_a_basket_2,2.1790345066762997e-20
62,omega_G_2,eps_a_basket_2,1.9932588192280906e-20
63,omega_G_2,eps_a_basket_2,1.8228479242027602e-20
64,omega_G_2,eps_a_basket_2,1.666586619990215e-20
65,omega_G_2,eps_a_basket_2,1.5233490973781514e-20
66,omega_G_2,eps_a_basket_2,1.3920932130885982e-20
67,omega_G_2,eps_a_basket_2,1.2718550146831744e-20
68,omega_G_2,eps_a_basket_2,1.1617435238279492e-20
69,omega_G_2,eps_a_basket_2,1.0609357809969374e-20
70,omega_G_2,eps_a_basket_2,9.686721514938485e-21
71,omega_G_2,eps_a_basket_2,8.84251890081408e-21
72,omega_G_2,eps_a_basket_2,8.07028959436517e-21
73,omega_G_2,eps_a_basket_2,7.3640809601979e-21
74,omega_G_2,eps_a_basket_2,6.7184111569204344e-21
75,omega_G_2,eps_a_basket_2,6.1282345046964825e-21
76,omega_G_2,eps_a_basket_2,5.588909071348116e-21
77,omega_G_2,eps_a_basket_2,5.096166379622459e-21
78,omega_G_2,eps_a_basket_2,4.646083135528452e-21
79,omega_G_2,eps_a_basket_2,4.235054876457021e-21
80,omega_G_2,eps_a_basket_2,3.859771437844593e-21
81,omega_G_2,eps_a_basket_2,3.51719413819008e-21
82,omega_G_2,eps_a_basket_2,3.204534584088023e-21
